Frecuencia (Hz)	Nivel (dB)
2075.262451	-35.616447
2077.954102	-35.703270
2080.645752	-35.791691
2083.337402	-35.881599
2086.029053	-35.972748
2088.720703	-36.064945
2091.412354	-36.157890
2094.104004	-36.251179
2096.795654	-36.344536
2099.487305	-36.437656
2102.178955	-36.530197
2104.870605	-36.621983
2107.562256	-36.712578
2110.253906	-36.801453
2112.945557	-36.888283
2115.637207	-36.972664
2118.328857	-37.054157
2121.020508	-37.132572
2123.712158	-37.207420
2126.403809	-37.278030
2129.095459	-37.344097
2131.787109	-37.405499
2134.478760	-37.461777
2137.170410	-37.512486
2139.862061	-37.557373
2142.553711	-37.596123
2145.245361	-37.628613
2147.937012	-37.654739
2150.628662	-37.674210
2153.320312	-37.686890
2156.011963	-37.692837
2158.703613	-37.692204
2161.395264	-37.684937
2164.086914	-37.671078
2166.778564	-37.650867
2169.470215	-37.624588
2172.161865	-37.592381
2174.853516	-37.554615
2177.545166	-37.511681
2180.236816	-37.463680
2182.928467	-37.411034
2185.620117	-37.354378
2188.311768	-37.294010
2191.003418	-37.230053
2193.695068	-37.163036
2196.386719	-37.093506
2199.078369	-37.021770
2201.770020	-36.948147
2204.461670	-36.873116
2207.153320	-36.796776
2209.844971	-36.719570
2212.536621	-36.641994
2215.228271	-36.564228
2217.919922	-36.486557
2220.611572	-36.409275
2223.303223	-36.332443
2225.994873	-36.256474
2228.686523	-36.181557
2231.378174	-36.107822
2234.069824	-36.035625
2236.761475	-35.965057
2239.453125	-35.896156
2242.144775	-35.829166
2244.836426	-35.764072
2247.528076	-35.701103
2250.219727	-35.640373
2252.911377	-35.581917
2255.603027	-35.525982
2258.294678	-35.472485
2260.986328	-35.421577
2263.677979	-35.373283
2266.369629	-35.327618
2269.061279	-35.284687
2271.752930	-35.244423
2274.444580	-35.206993
2277.136230	-35.172318
2279.827881	-35.140514
2282.519531	-35.111553
2285.211182	-35.085480
2287.902832	-35.062340
2290.594482	-35.042114
2293.286133	-35.024868
2295.977783	-35.010517
2298.669434	-34.999126
2301.361084	-34.990639
2304.052734	-34.985146
2306.744385	-34.982525
2309.436035	-34.982857
2312.127686	-34.986046
2314.819336	-34.992203
2317.510986	-35.001194
2320.202637	-35.013107
2322.894287	-35.027836
2325.585938	-35.045467
2328.277588	-35.065891
2330.969238	-35.089188
2333.660889	-35.115242
2336.352539	-35.144112
2339.044189	-35.175724
2341.735840	-35.210072
2344.427490	-35.247089
2347.119141	-35.286755
2349.810791	-35.329060
2352.502441	-35.373882
2355.194092	-35.421242
2357.885742	-35.471001
2360.577393	-35.523205
2363.269043	-35.577751
2365.960693	-35.634644
2368.652344	-35.693771
2371.343994	-35.755054
2374.035645	-35.818531
2376.727295	-35.883999
2379.418945	-35.951431
2382.110596	-36.020664
2384.802246	-36.091572
2387.493896	-36.164162
2390.185547	-36.238163
2392.877197	-36.313591
2395.568848	-36.390347
2398.260498	-36.468201
2400.952148	-36.547096
2403.643799	-36.626778
2406.335449	-36.707035
2409.027100	-36.787762
2411.718750	-36.868694
2414.410400	-36.949749
2417.102051	-37.030762
2419.793701	-37.111401
2422.485352	-37.191463
2425.177002	-37.270710
2427.868652	-37.348763
2430.560303	-37.425552
2433.251953	-37.500950
2435.943604	-37.574459
2438.635254	-37.645836
2441.326904	-37.714825
2444.018555	-37.781147
2446.710205	-37.844604
2449.401855	-37.905045
2452.093506	-37.962017
2454.785156	-38.015190
2457.476807	-38.064548
2460.168457	-38.109886
2462.860107	-38.150879
2465.551758	-38.187302
2468.243408	-38.219067
2470.935059	-38.246098
2473.626709	-38.268234
2476.318359	-38.285378
2479.010010	-38.297447
2481.701660	-38.304451
2484.393311	-38.306408
2487.084961	-38.303307
2489.776611	-38.295250
2492.468262	-38.282330
2495.159912	-38.264645
2497.851562	-38.242275
2500.543213	-38.215446
2503.234863	-38.184460
2505.926514	-38.149326
2508.618164	-38.110214
2511.309814	-38.067528
2514.001465	-38.021622
2516.693115	-37.972454
2519.384766	-37.920292
2522.076416	-37.865559
2524.768066	-37.808537
2527.459717	-37.749359
2530.151367	-37.688335
2532.843018	-37.625698
2535.534668	-37.561600
2538.226318	-37.496399
2540.917969	-37.430389
2543.609619	-37.363659
2546.301270	-37.296482
2548.992920	-37.229008
2551.684570	-37.161366
2554.376221	-37.093895
2557.067871	-37.026733
2559.759521	-36.959984
2562.451172	-36.893917
2565.142822	-36.828533
2567.834473	-36.763939
2570.526123	-36.700367
2573.217773	-36.637875
2575.909424	-36.576618
2578.601074	-36.516727
2581.292725	-36.458237
2583.984375	-36.401268
2586.676025	-36.345825
2589.367676	-36.291973
2592.059326	-36.239853
2594.750977	-36.189453
2597.442627	-36.140862
2600.134277	-36.094158
2602.825928	-36.049404
2605.517578	-36.006634
2608.209229	-35.965820
2610.900879	-35.927067
2613.592529	-35.890335
2616.284180	-35.855690
2618.975830	-35.823139
2621.667480	-35.792686
2624.359131	-35.764370
2627.050781	-35.738174
2629.742432	-35.714180
2632.434082	-35.692352
2635.125732	-35.672741
2637.817383	-35.655319
2640.509033	-35.640125
2643.200684	-35.627129
2645.892334	-35.616364
2648.583984	-35.607819
2651.275635	-35.601482
2653.967285	-35.597363
2656.658936	-35.595440
2659.350586	-35.595726
2662.042236	-35.598198
2664.733887	-35.602871
2667.425537	-35.609718
2670.117188	-35.618748
2672.808838	-35.629932
2675.500488	-35.643288
2678.192139	-35.658787
2680.883789	-35.676437
2683.575439	-35.696209
2686.267090	-35.718102
2688.958740	-35.742096
2691.650391	-35.768181
2694.342041	-35.796341
2697.033691	-35.826530
2699.725342	-35.858749
2702.416992	-35.892963
2705.108643	-35.929150
2707.800293	-35.967243
2710.491943	-36.007259
2713.183594	-36.049145
2715.875244	-36.092892
2718.566895	-36.138447
2721.258545	-36.185768
2723.950195	-36.234859
2726.641846	-36.285664
2729.333496	-36.338181
2732.025146	-36.392284
2734.716797	-36.447941
2737.408447	-36.505116
2740.100098	-36.563702
2742.791748	-36.623669
2745.483398	-36.684933
2748.175049	-36.747467
2750.866699	-36.811176
2753.558350	-36.875984
2756.250000	-36.941872
2758.941650	-37.008682
2761.633301	-37.076313
2764.324951	-37.144657
2767.016602	-37.213581
2769.708252	-37.283073
2772.399902	-37.352978
2775.091553	-37.423191
2777.783203	-37.493622
2780.474854	-37.564064
2783.166504	-37.634342
2785.858154	-37.704388
2788.549805	-37.774010
2791.241455	-37.843170
2793.933105	-37.911636
2796.624756	-37.979237
2799.316406	-38.045757
2802.008057	-38.111111
2804.699707	-38.175034
2807.391357	-38.237457
2810.083008	-38.298237
2812.774658	-38.357082
2815.466309	-38.413776
2818.157959	-38.468273
2820.849609	-38.520359
2823.541260	-38.569874
2826.232910	-38.616642
2828.924561	-38.660530
2831.616211	-38.701336
2834.307861	-38.738998
2836.999512	-38.773388
2839.691162	-38.804348
2842.382812	-38.831707
2845.074463	-38.855476
2847.766113	-38.875668
2850.457764	-38.891994
2853.149414	-38.904518
2855.841064	-38.913284
2858.532715	-38.918282
2861.224365	-38.919422
2863.916016	-38.916660
2866.607666	-38.910187
2869.299316	-38.900185
2871.990967	-38.886433
2874.682617	-38.869038
2877.374268	-38.848320
2880.065918	-38.824329
2882.757568	-38.797062
2885.449219	-38.766655
2888.140869	-38.733372
2890.832520	-38.697353
2893.524170	-38.658642
2896.215820	-38.617531
2898.907471	-38.574070
2901.599121	-38.528431
2904.290771	-38.480869
2906.982422	-38.431572
2909.674072	-38.380592
2912.365723	-38.328133
2915.057373	-38.274403
2917.749023	-38.219494
2920.440674	-38.163628
2923.132324	-38.107006
2925.823975	-38.049675
2928.515625	-37.991741
2931.207275	-37.933483
2933.898926	-37.874939
2936.590576	-37.816299
2939.282227	-37.757694
2941.973877	-37.699165
2944.665527	-37.640820
2947.357178	-37.582802
2950.048828	-37.525219
2952.740479	-37.468178
2955.432129	-37.411797
2958.123779	-37.356079
2960.815430	-37.301167
2963.507080	-37.247097
2966.198730	-37.193874
2968.890381	-37.141651
2971.582031	-37.090477
2974.273682	-37.040428
2976.965332	-36.991573
2979.656982	-36.943905
2982.348633	-36.897507
2985.040283	-36.852360
2987.731934	-36.808533
2990.423584	-36.766071
2993.115234	-36.724979
2995.806885	-36.685349
2998.498535	-36.647167
3001.190186	-36.610477
3003.881836	-36.575302
3006.573486	-36.541676
3009.265137	-36.509613
3011.956787	-36.479088
3014.648438	-36.450134
3017.340088	-36.422756
3020.031738	-36.397015
3022.723389	-36.372860
3025.415039	-36.350323
3028.106689	-36.329433
3030.798340	-36.310184
3033.489990	-36.292595
